Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Shale,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: shale, laser cleaning, stone, sedimentary, material properties",,,,,
# Last Modified: 2026-01-05,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Powerrange,100,W,1.0,120
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,80,μm,0.1,500
Machine Setting,Repetitionrate,50,kHz,1,200
Machine Setting,Energydensity,2.5,J/cm²,0.1,20.0
Machine Setting,Pulsewidth,12,ns,0.1,1000
Machine Setting,Scanspeed,500,mm/s,10,5000
Machine Setting,Passcount,2,passes,1,10
Machine Setting,Overlapratio,50,%,10,90
Machine Setting,Power,200,W,50,500
Machine Setting,Scan Speed,1500,mm/s,10,5000
Machine Setting,Pulse Width,30,ns,0.1,1000
Machine Setting,Repetition Rate,50,kHz,1,200
Machine Setting,Energy Density,1.5,J/cm²,0.1,20.0
Machine Setting,Spot Size,200,μm,0.1,500
Machine Setting,Pass Count,2,passes,1,10
Machine Setting,Overlap Ratio,60,%,10,90
,Crystallinestructure,crystalline,crystal system,None,None
Material Characteristics,Fracturetoughness,0.92,MPa m^{1/2},None,None
Material Characteristics,Youngsmodulus,25000000000.0,Pa,None,None
Material Characteristics,Oxidationresistance,0.88,dimensionless,None,None
Material Characteristics,Density,2650.0,kg/m³,None,None
Material Characteristics,Hardness,3.0,Mohs,None,None
Material Characteristics,Corrosionresistance,0.92,dimensionless,None,None
Material Characteristics,Compressivestrength,35.0,MPa,None,None
Material Characteristics,Flexuralstrength,10.0,MPa,None,None
Material Characteristics,Tensilestrength,5.0,MPa,None,None
Material Characteristics,Porosity,0.1,fraction,None,None
Material Characteristics,Laserdamagethreshold,2.3,J/cm²,None,None
Laser-Material Interaction,Absorptivity,0.85,dimensionless,0.7,0.95
Laser-Material Interaction,Absorptioncoefficient,5000000.0,m⁻¹,100000.0,10000000.0
Laser-Material Interaction,Laserdamagethreshold,3.5,J/cm²,1.0,10.0
Laser-Material Interaction,Thermalshockresistance,1.8,MW/m,0.5,3.0
Laser-Material Interaction,Reflectivity,0.15,dimensionless,0.05,0.3
Laser-Material Interaction,Thermaldestructionpoint,873,K,773,1073
Laser-Material Interaction,Vaporpressure,10,Pa,1,100
Laser-Material Interaction,Thermaldestruction,1173.0,K,None,None
Laser-Material Interaction,Specificheat,920.0,J/(kg·K),None,None
Laser-Material Interaction,Laserreflectivity,0.12,dimensionless (fraction),None,None
Laser-Material Interaction,Thermalconductivity,1.8,W/m·K,None,None
Laser-Material Interaction,Thermalexpansion,8e-06,K^{-1},None,None
Laser-Material Interaction,Laserabsorption,250000.0,m^{-1},None,None
Laser-Material Interaction,Thermaldiffusivity,5.73e-07,m²/s,None,None
Laser-Material Interaction,Ablationthreshold,1.25,J/cm²,None,None
,Metric,1064,nm,None,None
