Category,Property,Value,Unit,Min,Max
Material Characteristics,electricalResistivity,2300.0,Ω·m,,
Material Characteristics,fractureToughness,0.75,MPa√m,,
Material Characteristics,youngsModulus,169000000000.0,Pa,,
Material Characteristics,oxidationResistance,2.27,dimensionless,,
Material Characteristics,density,2329.0,kg/m³,,
Material Characteristics,hardness,9.3,GPa,7.0,12.0
Material Characteristics,corrosionResistance,0.98,dimensionless (resistance index),,
Material Characteristics,compressiveStrength,7000.0,MPa,,
Material Characteristics,flexuralStrength,295.0,MPa,,
Material Characteristics,tensileStrength,7000.0,MPa,,
Material Characteristics,laserDamageThreshold,0.25,J/cm²,,
Laser-Material Interaction,absorptivity,0.65,dimensionless,0.5,0.8
Laser-Material Interaction,absorptionCoefficient,50000,m⁻¹,10000,100000
Laser-Material Interaction,laserDamageThreshold,1.0,J/cm²,0.5,2.0
Laser-Material Interaction,thermalShockResistance,1.2,MW/m,0.8,1.5
Laser-Material Interaction,reflectivity,0.35,dimensionless,0.3,0.4
Laser-Material Interaction,thermalDestructionPoint,1687,K,1600,1800
Laser-Material Interaction,vaporPressure,0.1,Pa,0.01,1
Laser-Material Interaction,thermalDestruction,1687.0,K,,
Laser-Material Interaction,specificHeat,702.0,J/kg·K,,
Laser-Material Interaction,laserReflectivity,0.36,dimensionless,,
Laser-Material Interaction,thermalConductivity,148.0,W/m·K,,
Laser-Material Interaction,thermalExpansion,2.6e-06,K^{-1},,
Laser-Material Interaction,laserAbsorption,336000.0,m^{-1},,
Laser-Material Interaction,thermalDiffusivity,8.8e-05,m²/s,,
Laser-Material Interaction,ablationThreshold,2.5,J/cm²,,
