Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Soda-Lime Glass,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: soda-lime glass, laser cleaning, glass, specialty-glass, material properties",,,,,
# Last Modified: 2026-01-06,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Powerrange,100,W,1.0,120
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,100,μm,0.1,500
Machine Setting,Repetitionrate,50,kHz,1,200
Machine Setting,Scanspeed,1150,mm/s,10,5000
Machine Setting,Power,100,W,50,500
Machine Setting,Scan Speed,1500,mm/s,10,5000
Machine Setting,Pulse Width,20,ns,0.1,1000
Machine Setting,Repetition Rate,50,kHz,1,200
Machine Setting,Energy Density,0.5,J/cm²,0.1,20.0
Machine Setting,Spot Size,200,μm,0.1,500
Machine Setting,Pass Count,2,passes,1,10
Machine Setting,Overlap Ratio,50,%,10,90
Material Characteristics,Youngsmodulus,70.0,GPa,None,None
Material Characteristics,Oxidationresistance,1.0,"dimensionless (normalized scale 0-1, where 1 indicates complete resistance)",None,None
Material Characteristics,Density,2.5,g/cm³,None,None
Material Characteristics,Hardness,5.4,GPa,None,None
Material Characteristics,Corrosionresistance,0.1,g/m²,None,None
Material Characteristics,Compressivestrength,1000.0,MPa,None,None
Material Characteristics,Flexuralstrength,50.0,MPa,None,None
Material Characteristics,Tensilestrength,50.0,MPa,None,None
Material Characteristics,Fracturetoughness,0.75,MPa√m,None,None
Material Characteristics,Electricalresistivity,100000000000.0,Ω·m,None,None
Material Characteristics,Laserdamagethreshold,12.5,J/cm²,None,None
Laser-Material Interaction,Absorptivity,0.02,dimensionless,0.01,0.05
Laser-Material Interaction,Absorptioncoefficient,500,m⁻¹,100,1000
Laser-Material Interaction,Laserdamagethreshold,10,J/cm²,5,20
Laser-Material Interaction,Thermalshockresistance,1.0,MW/m,0.5,2.0
Laser-Material Interaction,Reflectivity,0.04,dimensionless,0.035,0.05
Laser-Material Interaction,Thermaldestructionpoint,1400,K,1300,1500
Laser-Material Interaction,Vaporpressure,0.001,Pa,0.001,0.01
Laser-Material Interaction,Thermaldestruction,992.0,K,None,None
Laser-Material Interaction,Specificheat,840.0,J/(kg·K),None,None
Laser-Material Interaction,Laserreflectivity,0.042,%,None,None
Laser-Material Interaction,Thermalconductivity,1.06,W/m·K,None,None
Laser-Material Interaction,Thermalexpansion,9e-06,K^{-1},None,None
Laser-Material Interaction,Laserabsorption,80.0,m^{-1},None,None
Laser-Material Interaction,Thermaldiffusivity,4.8e-07,m²/s,None,None
Laser-Material Interaction,Ablationthreshold,18.5,J/cm²,None,None
,Metric,1064,nm,None,None
