Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Stainless Steel 304,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: stainless steel 304, laser cleaning, metal, alloy, material properties",,,,,
# Last Modified: 2025-12-27,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Powerrange,100,W,1.0,120
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,50,μm,0.1,500
Machine Setting,Repetitionrate,50,kHz,1,200
Machine Setting,Energydensity,2.5,J/cm²,0.1,20.0
Machine Setting,Pulsewidth,10,ns,0.1,1000
Machine Setting,Scanspeed,500,mm/s,10,5000
Machine Setting,Passcount,2,passes,1,10
Machine Setting,Overlapratio,50,%,10,90
Machine Setting,Power,200,W,50,1000
Machine Setting,Scan Speed,1500,mm/s,10,5000
Machine Setting,Pulse Width,30,ns,0.1,1000
Machine Setting,Repetition Rate,30,kHz,1,200
Machine Setting,Energy Density,1.5,J/cm²,0.1,20.0
Machine Setting,Spot Size,150,μm,0.1,500
Machine Setting,Pass Count,2,passes,1,10
Machine Setting,Overlap Ratio,60,%,10,90
Material Characteristics,Density,8.0,g/cm³,None,None
Material Characteristics,Porosity,0,%,None,None
Material Characteristics,Surfaceroughness,0.8,μm,None,None
Material Characteristics,Tensilestrength,505,MPa,None,None
Material Characteristics,Youngsmodulus,193,GPa,None,None
Material Characteristics,Hardness,2.15,GPa,None,None
Material Characteristics,Flexuralstrength,530,MPa,None,None
Material Characteristics,Oxidationresistance,10,μm/year,None,None
Material Characteristics,Corrosionresistance,0.8,mm/year,None,None
Material Characteristics,Compressivestrength,505,MPa,None,None
Material Characteristics,Fracturetoughness,100,MPa m^{1/2},None,None
Material Characteristics,Electricalresistivity,7.2e-07,Ω·m,None,None
Material Characteristics,Electricalconductivity,1390000.0,S/m,None,None
Material Characteristics,Boilingpoint,2750.0,°C,None,None
Material Characteristics,Meltingpoint,1425.0,°C,None,None
Laser-Material Interaction,Thermaldestruction,1673,K,None,None
Laser-Material Interaction,Laserabsorption,0.35,dimensionless,None,None
Laser-Material Interaction,Laserdamagethreshold,1.2,J/cm²,None,None
Laser-Material Interaction,Ablationthreshold,1.85,J/cm²,None,None
Laser-Material Interaction,Thermaldiffusivity,4.09e-06,m²/s,None,None
Laser-Material Interaction,Thermalexpansion,17.3,×10^{-6}/K,None,None
Laser-Material Interaction,Specificheat,500.0,J/(kg·K),None,None
Laser-Material Interaction,Thermalconductivity,16.2,W/m·K,None,None
Laser-Material Interaction,Laserreflectivity,0.65,1 (dimensionless fraction),None,None
Laser-Material Interaction,Vaporpressure,0.0133,Pa,None,None
Laser-Material Interaction,Thermaldestructionpoint,1425.0,°C,None,None
Laser-Material Interaction,Absorptioncoefficient,47200000.0,m^{-1},None,None
Laser-Material Interaction,Thermalshockresistance,132.0,K,None,None
Laser-Material Interaction,Reflectivity,0.62,fraction,None,None
Laser-Material Interaction,Absorptivity,0.35,dimensionless,None,None
,Metric,1064,nm,None,None
