Category,Property,Value,Unit,Min,Max
Material Characteristics,youngsModulus,193.0,GPa,,
Material Characteristics,oxidationResistance,1173.0,K,,
Material Characteristics,density,8000.0,kg/m³,,
Material Characteristics,hardness,170.0,HV,,
Material Characteristics,corrosionResistance,0.005,mm/year,,
Material Characteristics,compressiveStrength,215.0,MPa,,
Material Characteristics,flexuralStrength,517.0,MPa,,
Material Characteristics,tensileStrength,515.0,MPa,,
Material Characteristics,fractureToughness,200.0,MPa√m,,
Material Characteristics,porosity,0.0,fraction,,
Material Characteristics,electricalResistivity,7.2e-07,Ω·m,,
Material Characteristics,absorptivity,0.35,dimensionless,,
Material Characteristics,boilingPoint,3073.0,K,,
Material Characteristics,absorptionCoefficient,45000000.0,m^{-1},,
Material Characteristics,electricalConductivity,1400000.0,S/m,,
Material Characteristics,meltingPoint,1425.0,°C,,
Material Characteristics,vaporPressure,1000.0,Pa,,
Material Characteristics,thermalDestructionPoint,1698.0,K,,
Material Characteristics,reflectivity,0.65,dimensionless (fraction),,
Material Characteristics,thermalShockResistance,1770.0,W/m,,
Material Characteristics,surfaceRoughness,1.6,μm,,
Material Characteristics,laserDamageThreshold,1.8,J/cm²,,
Laser-Material Interaction,absorptivity,0.4,dimensionless,0.3,0.5
Laser-Material Interaction,absorptionCoefficient,50000000.0,m⁻¹,10000000.0,100000000.0
Laser-Material Interaction,laserDamageThreshold,5,J/cm²,1,10
Laser-Material Interaction,thermalShockResistance,2.5,MW/m,1,5
Laser-Material Interaction,reflectivity,0.6,dimensionless,0.5,0.7
Laser-Material Interaction,thermalDestructionPoint,1700,K,1600,1800
Laser-Material Interaction,vaporPressure,1,Pa,0.1,10
Laser-Material Interaction,thermalDestruction,1673.0,K,,
Laser-Material Interaction,specificHeat,500.0,J/kg·K,,
Laser-Material Interaction,laserReflectivity,0.65,dimensionless,,
Laser-Material Interaction,thermalConductivity,16.2,W/m·K,,
Laser-Material Interaction,thermalExpansion,17.3,10^{-6} K^{-1},,
Laser-Material Interaction,laserAbsorption,0.35,dimensionless,,
Laser-Material Interaction,thermalDiffusivity,4e-06,m²/s,,
Laser-Material Interaction,ablationThreshold,1.5,J/cm²,,
