Category,Property,Value,Unit,Min,Max
Material Characteristics,youngsModulus,65.0,GPa,,
Material Characteristics,oxidationResistance,1273.0,K,,
Material Characteristics,density,2.4,g/cm³,,
Material Characteristics,hardness,5.7,GPa,,
Material Characteristics,corrosionResistance,0.98,dimensionless (fractional resistance),,
Material Characteristics,compressiveStrength,345.0,MPa,,
Material Characteristics,flexuralStrength,55.0,MPa,,
Material Characteristics,tensileStrength,35.0,MPa,,
Material Characteristics,fractureToughness,1.1,MPa·m^{1/2},,
Material Characteristics,porosity,2.0,%,,
Material Characteristics,electricalResistivity,100000000.0,Ω·m,,
Material Characteristics,laserDamageThreshold,1.2,J/cm²,,
Laser-Material Interaction,absorptivity,0.8,dimensionless,0.6,0.95
Laser-Material Interaction,absorptionCoefficient,1000000,m⁻¹,100000,10000000
Laser-Material Interaction,laserDamageThreshold,2.5,J/cm²,1.0,5.0
Laser-Material Interaction,thermalShockResistance,1.5,MW/m,0.8,2.5
Laser-Material Interaction,reflectivity,0.2,dimensionless,0.05,0.4
Laser-Material Interaction,thermalDestructionPoint,1500,K,1400,1600
Laser-Material Interaction,vaporPressure,0.1,Pa,0.01,1.0
Laser-Material Interaction,thermalDestruction,1473.0,K,,
Laser-Material Interaction,specificHeat,880.0,J/(kg·K),,
Laser-Material Interaction,laserReflectivity,0.15,fraction,,
Laser-Material Interaction,thermalConductivity,1.4,W/m·K,,
Laser-Material Interaction,thermalExpansion,5.8e-06,/K,,
Laser-Material Interaction,laserAbsorption,0.82,,,
Laser-Material Interaction,thermalDiffusivity,7.8e-07,m²/s,,
Laser-Material Interaction,ablationThreshold,2.1,J/cm²,,
