Category,Property,Value,Unit,Min,Max
Material Characteristics,youngsModulus,186.0,GPa,,
Material Characteristics,oxidationResistance,573.0,K,,
Material Characteristics,density,16.65,g/cm³,,
Material Characteristics,hardness,0.92,GPa,,
Material Characteristics,corrosionResistance,520000.0,ohm·cm²,,
Material Characteristics,compressiveStrength,240.0,MPa,,
Material Characteristics,flexuralStrength,310.0,MPa,,
Material Characteristics,tensileStrength,207.0,MPa,,
Material Characteristics,fractureToughness,28.0,MPa√m,,
Material Characteristics,porosity,0.0,%,,
Material Characteristics,electricalResistivity,1.32e-07,Ω·m,,
Material Characteristics,absorptivity,0.35,dimensionless,,
Material Characteristics,boilingPoint,5731.0,K,,
Material Characteristics,absorptionCoefficient,86130000.0,m^{-1},,
Material Characteristics,electricalConductivity,7610000.0,S/m,,
Material Characteristics,meltingPoint,3290.0,K,,
Material Characteristics,vaporPressure,2.66,Pa,,
Material Characteristics,thermalDestructionPoint,3290.0,K,,
Material Characteristics,reflectivity,0.42,dimensionless,,
Material Characteristics,thermalShockResistance,155.0,K,,
Material Characteristics,surfaceRoughness,0.8,μm,,
Material Characteristics,laserDamageThreshold,2.3,J/cm²,,
Laser-Material Interaction,absorptivity,0.35,dimensionless,0.3,0.4
Laser-Material Interaction,absorptionCoefficient,10000000,m⁻¹,5000000,20000000
Laser-Material Interaction,laserDamageThreshold,2.5,J/cm²,1.0,5.0
Laser-Material Interaction,thermalShockResistance,3.0,MW/m,2.0,4.0
Laser-Material Interaction,reflectivity,0.65,dimensionless,0.6,0.7
Laser-Material Interaction,thermalDestructionPoint,3290,K,3200,3400
Laser-Material Interaction,vaporPressure,10,Pa,1,100
Laser-Material Interaction,thermalDestruction,3290.0,K,,
Laser-Material Interaction,specificHeat,140.7,J/(kg·K),,
Laser-Material Interaction,laserReflectivity,0.48,,,
Laser-Material Interaction,thermalConductivity,57.5,W/m·K,,
Laser-Material Interaction,thermalExpansion,6.3e-06,K^{-1},,
Laser-Material Interaction,laserAbsorption,0.31,dimensionless,,
Laser-Material Interaction,thermalDiffusivity,2.27e-05,m²/s,,
Laser-Material Interaction,ablationThreshold,2.1,J/cm²,,
