Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Thermoplastic Elastomer,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: thermoplastic elastomer, laser cleaning, composite, structural, material properties",,,,,
# Last Modified: 2026-01-09,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,200,μm,0.1,500
Machine Setting,Energydensity,0.5,J/cm²,0.1,20.0
Machine Setting,Pulsewidth,20,ns,0.1,1000
Machine Setting,Scanspeed,2000,mm/s,10,5000
Machine Setting,Passcount,2,passes,1,10
Machine Setting,Overlapratio,60,%,10,90
Machine Setting,Dwelltime,100,μs,0.2,200
Machine Setting,Laserpower,100,W,1.0,120
Machine Setting,Laserpoweralternative,30,W,10,100
Machine Setting,Frequency,50,kHz,1,200
Material Characteristics,Youngsmodulus,25.0,MPa,None,None
Material Characteristics,Oxidationresistance,1800.0,s,None,None
Material Characteristics,Density,1.05,g/cm³,None,None
Material Characteristics,Hardness,70.0,Shore A,None,None
Material Characteristics,Corrosionresistance,0.92,dimensionless (normalized resistance scale 0-1),None,None
Material Characteristics,Compressivestrength,18.5,MPa,None,None
Material Characteristics,Flexuralstrength,12.5,MPa,None,None
Material Characteristics,Tensilestrength,18.5,MPa,None,None
Material Characteristics,Fracturetoughness,3.2,MPa m^{1/2},None,None
Material Characteristics,Electricalresistivity,1000000000000.0,Ω·m,None,None
Material Characteristics,Laserdamagethreshold,0.28,J/cm²,None,None
Laser-Material Interaction,Absorptivity,0.6,dimensionless,0.4,0.8
Laser-Material Interaction,Absorptioncoefficient,500000,m⁻¹,100000,1000000
Laser-Material Interaction,Laserdamagethreshold,2.0,J/cm²,1.0,5.0
Laser-Material Interaction,Thermalshockresistance,0.8,MW/m,0.5,1.5
Laser-Material Interaction,Reflectivity,0.3,dimensionless,0.1,0.5
Laser-Material Interaction,Thermaldestructionpoint,523,K,473,573
Laser-Material Interaction,Vaporpressure,0.01,Pa,0.001,0.1
Laser-Material Interaction,Thermaldestruction,623.0,K,None,None
Laser-Material Interaction,Specificheat,1800.0,J/kg·K,None,None
Laser-Material Interaction,Laserreflectivity,0.06,%,None,None
Laser-Material Interaction,Thermalconductivity,0.2,W/m·K,None,None
Laser-Material Interaction,Thermalexpansion,0.00018,1/K,None,None
Laser-Material Interaction,Laserabsorption,0.87,dimensionless (absorptivity),None,None
Laser-Material Interaction,Thermaldiffusivity,1.05e-07,m²/s,None,None
Laser-Material Interaction,Ablationthreshold,0.75,J/cm²,None,None
,Metric,1064,nm,None,None
