Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Tungsten,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: tungsten, laser cleaning, metal, alloy, material properties",,,,,
# Last Modified: 2026-01-10,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,200,μm,0.1,500
Machine Setting,Fluencethreshold,2.5,J/cm²,0.3,4.5
Machine Setting,Pulsewidth,50,ns,0.1,1000
Machine Setting,Scanspeed,2000,mm/s,10,5000
Machine Setting,Passcount,2,passes,1,10
Machine Setting,Overlapratio,50,%,10,90
Machine Setting,Energydensity,1.5,J/cm²,0.1,20.0
Machine Setting,Laserpower,100,W,1.0,120
Machine Setting,Laserpoweralternative,200,W,50,2000
Machine Setting,Frequency,30,kHz,1,200
Material Characteristics,Youngsmodulus,411.0,GPa,None,None
Material Characteristics,Oxidationresistance,773.0,K,None,None
Material Characteristics,Density,19.25,g/cm³,None,None
Material Characteristics,Hardness,370.0,HV,None,None
Material Characteristics,Corrosionresistance,0.96,dimensionless (normalized resistance index),None,None
Material Characteristics,Compressivestrength,2760.0,MPa,None,None
Material Characteristics,Flexuralstrength,1200.0,MPa,None,None
Material Characteristics,Tensilestrength,1510.0,MPa,None,None
Material Characteristics,Fracturetoughness,5.2,MPa m^{1/2},None,None
Material Characteristics,Porosity,0.0,%,None,None
Material Characteristics,Electricalresistivity,5.6e-08,Ω m,None,None
Material Characteristics,Absorptivity,0.42,dimensionless,None,None
Material Characteristics,Boilingpoint,6203.0,K,None,None
Material Characteristics,Absorptioncoefficient,65000000.0,m^{-1},None,None
Material Characteristics,Electricalconductivity,18200000.0,S/m,None,None
Material Characteristics,Meltingpoint,3695.0,K,None,None
Material Characteristics,Vaporpressure,0.0,Pa,None,None
Material Characteristics,Thermaldestructionpoint,3695.0,K,None,None
Material Characteristics,Reflectivity,0.845,fraction,None,None
Material Characteristics,Thermalshockresistance,392.0,K,None,None
Material Characteristics,Surfaceroughness,0.8,μm,None,None
Material Characteristics,Laserdamagethreshold,2.1,J/cm²,None,None
Laser-Material Interaction,Absorptivity,0.4,dimensionless,0.35,0.45
Laser-Material Interaction,Absorptioncoefficient,60000000,m⁻¹,50000000,70000000
Laser-Material Interaction,Laserdamagethreshold,8,J/cm²,5,10
Laser-Material Interaction,Thermalshockresistance,3,MW/m,2.5,3.5
Laser-Material Interaction,Reflectivity,0.6,dimensionless,0.55,0.65
Laser-Material Interaction,Thermaldestructionpoint,3695,K,3650,3750
Laser-Material Interaction,Vaporpressure,10,Pa,5,20
Laser-Material Interaction,Thermaldestruction,3695.0,K,None,None
Laser-Material Interaction,Specificheat,132.0,J/kg·K,None,None
Laser-Material Interaction,Laserreflectivity,0.6,dimensionless,None,None
Laser-Material Interaction,Thermalconductivity,174.0,W/m·K,None,None
Laser-Material Interaction,Thermalexpansion,4.5e-06,K^{-1},None,None
Laser-Material Interaction,Laserabsorption,0.4,dimensionless,None,None
Laser-Material Interaction,Thermaldiffusivity,6.8e-05,m²/s,None,None
Laser-Material Interaction,Ablationthreshold,1.8,J/cm²,None,None
,Metric,1064,nm,None,None
