Category,Property,Value,Unit,Min,Max
Material Characteristics,youngsModulus,128.0,GPa,,
Material Characteristics,oxidationResistance,0.65,dimensionless,,
Material Characteristics,density,6110.0,kg/m³,,
Material Characteristics,hardness,175.0,HV,,
Material Characteristics,corrosionResistance,0.92,dimensionless (normalized corrosion resistance index),,
Material Characteristics,compressiveStrength,345.0,MPa,,
Material Characteristics,flexuralStrength,310.0,MPa,,
Material Characteristics,tensileStrength,345.0,MPa,,
Material Characteristics,fractureToughness,99.0,MPa√m,,
Material Characteristics,porosity,0.0,%,,
Material Characteristics,electricalResistivity,1.97e-07,Ω·m,,
Material Characteristics,absorptivity,0.36,dimensionless,,
Material Characteristics,boilingPoint,3680.0,K,,
Material Characteristics,absorptionCoefficient,62800000.0,m^{-1},,
Material Characteristics,electricalConductivity,4030000.0,S/m,,
Material Characteristics,meltingPoint,2183.0,K,,
Material Characteristics,vaporPressure,3.35,Pa,,
Material Characteristics,thermalDestructionPoint,2183.0,K,,
Material Characteristics,reflectivity,0.72,fraction,,
Material Characteristics,thermalShockResistance,251.0,K,,
Material Characteristics,surfaceRoughness,0.12,μm,,
Material Characteristics,laserDamageThreshold,2.45,J/cm²,,
Laser-Material Interaction,absorptivity,0.3,dimensionless,0.2,0.4
Laser-Material Interaction,absorptionCoefficient,5000000,m⁻¹,1000000,10000000
Laser-Material Interaction,laserDamageThreshold,2.5,J/cm²,1.0,5.0
Laser-Material Interaction,thermalShockResistance,2.5,MW/m,1.5,3.5
Laser-Material Interaction,reflectivity,0.7,dimensionless,0.6,0.8
Laser-Material Interaction,thermalDestructionPoint,2183,K,2100,2250
Laser-Material Interaction,vaporPressure,10,Pa,1,100
Laser-Material Interaction,thermalDestruction,2183.0,K,,
Laser-Material Interaction,specificHeat,489.0,J/(kg·K),,
Laser-Material Interaction,laserReflectivity,0.65,fraction,,
Laser-Material Interaction,thermalConductivity,30.7,W/m·K,,
Laser-Material Interaction,thermalExpansion,8.4,10^{-6} K^{-1},,
Laser-Material Interaction,laserAbsorption,0.38,dimensionless,,
Laser-Material Interaction,thermalDiffusivity,1.028e-05,m²/s,,
Laser-Material Interaction,ablationThreshold,1.45,J/cm²,,
