Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Yttria-Stabilized Zirconia,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: yttria-stabilized zirconia, laser cleaning, ceramic, technical, material properties",,,,,
# Last Modified: 2026-01-14,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,200,μm,0.1,500
Machine Setting,Energydensity,2,J/cm²,0.1,20.0
Machine Setting,Pulsewidth,20,ns,0.1,1000
Machine Setting,Scanspeed,500,mm/s,10,5000
Machine Setting,Passcount,2,passes,1,10
Machine Setting,Overlapratio,50,%,10,90
Machine Setting,Laserpower,80,W,1.0,120
Machine Setting,Laserpoweralternative,200,W,50,500
Machine Setting,Frequency,50,kHz,1,200
Material Characteristics,Youngsmodulus,210.0,GPa,None,None
Material Characteristics,Oxidationresistance,0.0,mg/(cm²·h),None,None
Material Characteristics,Corrosionresistance,1.2e-08,kg/m²·s,None,None
Material Characteristics,Fracturetoughness,5.7,MPa m^{1/2},None,None
Material Characteristics,Porosity,0.5,%,None,None
Material Characteristics,Electricalresistivity,1000000000000.0,Ω·m,None,None
Material Characteristics,Compressivestrength,2000.0,MPa,None,None
Material Characteristics,Density,6.0,g/cm³,None,None
Material Characteristics,Hardness,12.5,GPa,None,None
Material Characteristics,Tensilestrength,250.0,MPa,None,None
Material Characteristics,Flexuralstrength,1050.0,MPa,None,None
Laser-Material Interaction,Thermaldiffusivity,9.14e-07,m²/s,None,None
Laser-Material Interaction,Thermalconductivity,2.0,W/m·K,None,None
Laser-Material Interaction,Ablationthreshold,2.1,J/cm²,None,None
Laser-Material Interaction,Thermalexpansion,10.5,10^{-6} K^{-1},None,None
Laser-Material Interaction,Laserabsorption,0.15,dimensionless (absorptivity),None,None
Laser-Material Interaction,Laserdamagethreshold,12.5,J/cm²,None,None
Laser-Material Interaction,Specificheat,480.0,J/(kg·K),None,None
Laser-Material Interaction,Thermaldestruction,2923.0,K,None,None
Laser-Material Interaction,Laserreflectivity,0.28,%,None,None
,Metric,1064,nm,None,None
