Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Zirconium,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: zirconium, laser cleaning, metal, alloy, material properties",,,,,
# Last Modified: 2025-12-29,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Powerrange,100,W,1.0,120
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,50,μm,0.1,500
Machine Setting,Repetitionrate,100,kHz,1,200
Machine Setting,Energydensity,5.1,J/cm²,0.1,20.0
Machine Setting,Pulsewidth,10,ns,0.1,1000
Machine Setting,Scanspeed,500,mm/s,10,5000
Machine Setting,Passcount,2,passes,1,10
Machine Setting,Overlapratio,50,%,10,90
Machine Setting,Dwelltime,100,μs,0.2,200
Machine Setting,Power,150,W,50,500
Machine Setting,Scan Speed,1500,mm/s,10,5000
Machine Setting,Pulse Width,20,ns,0.1,1000
Machine Setting,Repetition Rate,30,kHz,1,200
Machine Setting,Energy Density,1.5,J/cm²,0.1,20.0
Machine Setting,Spot Size,200,μm,0.1,500
Machine Setting,Pass Count,2,passes,1,10
Machine Setting,Overlap Ratio,70,%,10,90
Material Characteristics,Youngsmodulus,99.0,GPa,None,None
Material Characteristics,Oxidationresistance,773.0,K,None,None
Material Characteristics,Density,6.52,g/cm³,None,None
Material Characteristics,Hardness,200.0,HV,None,None
Material Characteristics,Corrosionresistance,500000.0,Ω·cm²,None,None
Material Characteristics,Compressivestrength,380.0,MPa,None,None
Material Characteristics,Flexuralstrength,380.0,MPa,None,None
Material Characteristics,Tensilestrength,380.0,MPa,None,None
Material Characteristics,Fracturetoughness,55.0,MPa√m,None,None
Material Characteristics,Porosity,0.0,fraction,None,None
Material Characteristics,Electricalresistivity,4.2e-07,Ω·m,None,None
Material Characteristics,Absorptivity,0.32,dimensionless,None,None
Material Characteristics,Boilingpoint,4682.0,K,None,None
Material Characteristics,Absorptioncoefficient,65000000.0,m^{-1},None,None
Material Characteristics,Electricalconductivity,2380000.0,S/m,None,None
Material Characteristics,Meltingpoint,2125.0,K,None,None
Material Characteristics,Vaporpressure,0.0,Pa,None,None
Material Characteristics,Thermaldestructionpoint,2128.0,K,None,None
Material Characteristics,Reflectivity,0.92,dimensionless,None,None
Material Characteristics,Thermalshockresistance,320.0,K,None,None
Material Characteristics,Surfaceroughness,0.8,μm,None,None
Material Characteristics,Laserdamagethreshold,1.8,J/cm²,None,None
Laser-Material Interaction,Absorptivity,0.35,dimensionless,0.2,0.5
Laser-Material Interaction,Absorptioncoefficient,5000000.0,m⁻¹,1000000.0,10000000.0
Laser-Material Interaction,Laserdamagethreshold,4.5,J/cm²,2,10
Laser-Material Interaction,Thermalshockresistance,1.8,MW/m,1.2,2.5
Laser-Material Interaction,Reflectivity,0.65,dimensionless,0.5,0.8
Laser-Material Interaction,Thermaldestructionpoint,2128,K,2000,2200
Laser-Material Interaction,Vaporpressure,0.5,Pa,0.1,2
Laser-Material Interaction,Thermaldestruction,2128.0,K,None,None
Laser-Material Interaction,Specificheat,278.0,J/(kg·K),None,None
Laser-Material Interaction,Laserreflectivity,0.92,dimensionless,None,None
Laser-Material Interaction,Thermalconductivity,22.7,W/m·K,None,None
Laser-Material Interaction,Thermalexpansion,5.8e-06,K^{-1},None,None
Laser-Material Interaction,Laserabsorption,0.38,dimensionless,None,None
Laser-Material Interaction,Thermaldiffusivity,1.217e-05,m²/s,None,None
Laser-Material Interaction,Ablationthreshold,1.2,J/cm²,None,None
,Metric,1064,nm,None,None
