Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Fir surface cleaning without charring"
"wavelength","1064","nm","355","10640","Near-IR wavelength for optimal absorption in Fir wood contaminants"
"spotSize","100","μm","0.1","500","Beam spot diameter for precise cleaning control on Fir wood grain"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning coverage on Fir surfaces"
"energyDensity","1.2","J/cm²","0.1","20","Fluence threshold for effective contaminant removal from Fir wood"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for efficient contaminant removal with minimal substrate damage"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning of Fir surfaces"
"passCount","2","passes","1","10","Recommended number of passes for complete contaminant removal from Fir"
"overlapRatio","50","%","10","90","Optimal beam overlap percentage for uniform cleaning coverage"
"dwellTime","100","μs","","","Optimal dwell time per cleaning spot on Fir wood surface"
