Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Hastelloy surface cleaning without substrate damage"
"wavelength","1064","nm","355","10640","Near-infrared wavelength optimized for Hastelloy absorption and minimal reflectivity"
"spotSize","50","μm","0.1","500","Beam spot diameter for precise cleaning with adequate energy density"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for continuous cleaning coverage with thermal management"
"energyDensity","5.1","J/cm²","0.1","20","Fluence level sufficient for contaminant removal while preserving Hastelloy substrate"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for efficient contaminant removal with controlled thermal effects"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for efficient area coverage with effective cleaning"
"passCount","3","passes","1","10","Recommended number of passes for complete contaminant removal"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning without excessive thermal accumulation"
"dwellTime","100","μs","","","Optimal dwell time per spot for effective cleaning with thermal control"
