Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for MDF surface cleaning without charring"
"wavelength","1064","nm","355","10640","Near-IR wavelength for optimal MDF absorption and minimal substrate damage"
"spotSize","100","μm","0.1","500","Beam spot diameter for precise cleaning control"
"repetitionRate","50","kHz","1","200","High repetition rate for efficient surface cleaning"
"fluenceThreshold","2.5","J/cm²","0.3","4.5","Energy density threshold for MDF surface ablation"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for controlled material removal"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform surface treatment"
"passCount","2","passes","1","10","Number of cleaning passes for thorough contamination removal"
"overlapRatio","50","%","10","90","Beam overlap percentage for complete surface coverage"
"dwellTime","100","μs","","","Beam dwell time per spot for effective material removal"
