Parameter,Value,Unit,Min,Max,Description
"powerRange","90","W","1","120","Optimal average power for Praseodymium oxide removal"
"wavelength","1064","nm","355","10640","Optimal wavelength for Praseodymium absorption characteristics"
"spotSize","80","μm","0.1","500","Optimal beam spot diameter for Praseodymium surface processing"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient Praseodymium cleaning"
"fluenceThreshold","2.5","J/cm²","0.3","4.5","Minimum fluence required for effective Praseodymium surface cleaning"
"energyDensity","3.2","J/cm²","0.1","20","Optimal energy density for controlled Praseodymium ablation"
"pulseWidth","12","ns","0.1","1000","Optimal pulse duration for Praseodymium thermal management"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform Praseodymium cleaning"
"passCount","3","passes","1","10","Optimal number of passes for complete Praseodymium surface cleaning"
"overlapRatio","40","%","10","90","Optimal beam overlap for uniform Praseodymium processing"
"dwellTime","120","μs","","","Optimal dwell time per spot for Praseodymium material interaction"
