Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Stainless Steel oxide layer removal"
"wavelength","1064","nm","355","10640","Near-infrared wavelength optimized for Stainless Steel absorption"
"spotSize","50","μm","0.1","500","Beam spot diameter for precise cleaning resolution"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning with minimal heat accumulation"
"energyDensity","5.1","J/cm²","0.1","20","Fluence threshold for effective contaminant removal without substrate damage"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for controlled ablation of surface contaminants"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning coverage"
"passCount","3","passes","1","10","Recommended number of passes for complete contaminant removal"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning without excessive processing"
"dwellTime","100","μs","","","Effective dwell time per spot for contaminant ablation"
